year,population,employment,unemployment_rate,house_price_index,housing_supply_index,service_capacity_index,infrastructure_capacity_index,fiscal_capacity_index,housing_pressure,service_gap,infrastructure_gap,fiscal_gap,structural_mismatch,system_stress,threshold_crossed,population_growth,employment_growth,state
2035,1258869.4081595798,618556.9731947613,1.8254857917917855,406.3384995307877,105.21912546272758,108.08946236097289,105.11401320407893,106.72130121483247,0.011390475094030128,0.0,0.022418959633025093,0.004554143545303813,0.06583685693114165,0.05565936232675274,False,0.007174953765469739,0.014344527009704502,stable
2036,1255811.9423609003,615241.1818361816,1.960099391210869,422.38907132067106,105.64892996227141,109.35641150745515,105.63958327009931,106.27211226077851,0.00406381903976305,0.0,0.013483129937054361,0.005132168494953238,0.0399369326591816,0.032578416492603186,False,-0.0024287394537208734,-0.005360527004415113,stable
2037,1259292.4413687545,619844.1926625497,1.994932956705826,430.3569679482157,105.95536259358295,110.58908925440306,106.16778118644979,106.61684257618252,0.0051546770763857275,0.0,0.013427393625086381,0.006598796268399543,0.04471761006161923,0.036052098720025155,False,0.0027715129076656994,0.007481636409042815,stable
2038,1259751.736864434,618904.6680312929,2.0199973996393568,443.4085384370368,106.45986834455861,111.87378529491485,106.69862009238203,106.73313978439116,0.00026780723601116385,0.0,0.007876130952902294,0.005089321659236923,0.024175983771599352,0.01873020488938897,False,0.00036472504764693955,-0.0015157432180191786,stable
2039,1262826.26213427,619124.3793961804,1.7075574724004379,447.67485170120125,106.58209430398824,113.18641605598906,107.23211319284393,106.56223944641069,0.0010189469904673398,0.0,0.004342903233615747,0.008293682858180329,0.026214922994680832,0.018922290806228967,False,0.002440580298375707,0.00035500033565177315,stable
2040,1265829.9549798907,622260.5153628706,1.9351604553398927,463.2162207189091,106.93335408166814,114.49510450050947,107.76827375880814,106.63246046191718,0.0007978248050823922,0.0,0.002962548047311886,0.011139791858823411,0.029475187793205904,0.020368269328609488,False,0.0023785479726594165,0.005065437690805947,stable
2041,1268450.6353460825,624005.7998749918,2.0944090048648603,477.8990055758987,106.97442058761597,115.82696427669471,108.30711512760216,106.89665024697555,0.0026753710929412478,0.0,0.0003776029534492409,0.011034144904912946,0.028076091962552785,0.019189888474589977,False,0.0020703257620674764,0.0028047489259434366,stable
2042,1270927.66716503,621981.8417002854,2.050865987293329,489.6060719611117,107.43070419163729,117.20491715986347,108.84865070324015,107.23131329039693,-0.0009798443594600803,0.0,0.0,0.007688823420341828,0.016018382125712143,0.010251764560455772,False,0.0019528011180913651,-0.0032434925686777184,stable
2043,1274851.838142466,621624.4474324299,2.1388123082341686,505.4212792876902,108.19524326650964,118.63848722082076,109.39289395675634,107.39858320466807,-0.005915494324971515,0.0,0.0,0.007712205728979127,0.016067095268706515,0.01028294097197217,False,0.00308764304910401,-0.0005746056297698692,stable
2044,1279111.2278637374,629979.1184250577,1.832309411173388,509.53355075597125,108.60183858159911,120.10943637590405,109.93985842654011,108.32631697555466,-0.003749884548219229,0.0,0.0,0.006555991229268754,0.013658315060976572,0.008741321639025006,False,0.003341086072776488,0.013440061804416118,stable
2045,1279715.801564589,633095.8269883356,1.8413161521889652,533.0002620313635,109.19656974068403,121.71005279680456,110.4895577186728,109.37196337416128,-0.0075560465024927526,0.0,0.0,0.0,0.0,0.0,False,0.0004726513908109042,0.004947320430349393,stable
